name;DESCRIPTION;
281.101.30;Cargo Gear Locker;
281.101.31;Dry Chemical Powder Room;
281.101.32;Cylinder Room;
281.101.33;Bunker Locker;
281.101.34;Deck Shelter;
281.101.35;Garbage Room;
281.101.36;Gymnasium;
281.101.37;Navigation Equipment Locker;
281.101.38;Mess Room - Officers;
281.101.39;Mess Room - Crew;
281.101.41;Pantry;
281.101.42;Hospital;
281.101.43;Change Room (Officer);
281.101.50;Change Room (Crew);
281.508;Steering Gear Room;
281.599;Access Hatch;
281.901;Store
281.902;Store
282;MACHINERY SPACES;
282.001;Engine Room;
282.001.01;Engine Room - Deck XX;
282.001.02;Engine Room - Deck XX;
282.001.03;Engine Room - Deck XX;
282.001.04;Engine Room - Deck XX;
282.001.05;Engine Room - Deck XX;
282.001.11;Engine Room - Steering Engine Flat;
282.001.12;Engine Room - Middle Flat;
282.001.13;Engine Room - Lower Floor;
282.001.14;Engine Room - Tank Top;
282.001.21;Engine Room - Tanks;
282.004;Auxiliary Machinery Room;
282.007;Engine Room Casing;
282.011;Boiler Room;
282.014;Pump Room;
282.017;Purifier Room;
282.021;Engine Control Room;
282.024;Engine Workshop;
282.025;Electrical Workshop;
282.027;Compressor Room;
282.031;Generator Room;
282.034;Thruster Room;
282.037;Incinerator Room;
282.041;Store Rooms;
282.044;Emergency Fire Pump Room;
282.047;Reliquefaction Compressor Room;
282.051;Reliquefaction Motor Room;
282.054;Walkways;
282.101;Pipe Tunnel Stbd;
282.102;Pipe Tunnel Port;
283;CARGO HOLDS / CAR DECKS;
283.001;;
283.001.01;Car Deck No 01;
283.002;;
283.002.01;Car Deck No 02;
283.002.11;Car Deck No 02 (Liftable);
283.003;;
283.003.01;Car Deck No 03;
283.004;;
283.004.01;Car Deck No 04;
283.004.11;Car Deck No 04 (Liftable);
283.005;;
283.005.01;Car Deck No 05;
283.005.11;Car Deck No 05 (Liftable);
283.006;;
283.006.01;Car Deck No 06;
283.006.11;Car Deck No 06 (Liftable);
283.007;;
283.007.01;Car Deck No 07;
283.007.11;Car Deck No 07 (Liftable);
283.008;;
283.008.01;Car Deck No 08;
283.008.11;Car Deck No 08 (Liftable);
283.008.21;Car Deck No 08 (Gas Tight);
283.009;;
283.009.01;Car Deck No 09;
283.009.11;Car Deck No 09 (Liftable);
283.010;;
283.010.01;Car Deck No 10;
283.011;;
283.011.01;Car Deck No 11;
283.011.11;Car Deck No 11 (Liftable);
283.012;;
283.012.01;Car Deck No 12;
283.013;;
283.013.01;Car Deck No 13;
283.014;;
283.014.01;Car Deck No 14;
283.015;;
283.015.01;Car Deck No 15;
283.021;;
283.021.01;Car Deck - Garage;
283.022;;
283.022.01;Car Deck - Accommodation;
283.023;;
283.023.01;Car Deck - Bridge Deck;
283.024;;
283.024.01;Car Deck - Navigation Deck;
283.051;LIFTABLE PANELS IN CAR DECKS;
283.051.02;Liftable Panels - Car Deck No 02;
283.051.04;Liftable Panels - Car Deck No 04;
283.051.06;Liftable Panels - Car Deck No 06;
283.051.08;Liftable Panels - Car Deck No 08;
283.081;Valves
283.101.01;Cargo Hold No 01;
283.102.01;Cargo Hold No 02;
283.102.11;Cargo Hold No 02 (Water Ballast);
283.103.01;Cargo Hold No 03;
283.103.11;Cargo Hold No 03 (Water Ballast);
283.104.01;Cargo Hold No 04;
283.104.11;Cargo Hold No 04 (Water Ballast);
283.105.01;Cargo Hold No 05;
283.105.11;Cargo Hold No 05 (Water Ballast);
283.106.01;Cargo Hold No 06;
283.106.11;Cargo Hold No 06 (Water Ballast);
283.107.01;Cargo Hold No 07;
283.108.01;Cargo Hold No 08;
283.108.11;Cargo Hold No 08 (Water Ballast);
283.109.01;Cargo Hold No 09;
283.110.01;Cargo Hold No 10;
283.110.99;Cargo Hold Ladder;
284;CARGO TANKS;
284.001.01;Cargo Tank No 01 Stbd;
284.001.02;Cargo Tank No 01 Port;
284.002.01;Cargo Tank No 02 Stbd;
284.002.02;Cargo Tank No 02 Port;
284.003.01;Cargo Tank No 03 Stbd;
284.003.02;Cargo Tank No 03 Port;
284.004.01;Cargo Tank No 04 Stbd;
284.004.02;Cargo Tank No 04 Port;
284.005.01;Cargo Tank No 05 Stbd;
284.005.02;Cargo Tank No 05 Port;
284.006.01;Cargo Tank No 06 Stbd;
284.006.02;Cargo Tank No 06 Port;
284.007.01;Cargo Tank No 07 Stbd;
284.007.02;Cargo Tank No 07 Port;
284.008.01;Cargo Tank No 08 Stbd;
284.008.02;Cargo Tank No 08 Port;
284.009.01;Cargo Tank No 09 Stbd;
284.009.02;Cargo Tank No 09 Port;
284.010.01;Cargo Tank No 10 Stbd;
284.010.02;Cargo Tank No 10 Port;
284.091.01;Deck Tank Stbd;
284.091.02;Deck Tank Port;
284.101;MANHOLE COVERS - CARGO TANKS;
284.101.01;Manhole Cover - Cargo Tank No 01 Stbd;
284.101.02;Manhole Cover - Cargo Tank No 01 Port;
284.102.01;Manhole Cover - Cargo Tank No 02 Stbd;
284.102.02;Manhole Cover - Cargo Tank No 02 Port;
284.103.01;Manhole Cover - Cargo Tank No 03 Stbd;
284.103.02;Manhole Cover - Cargo Tank No 03 Port;
284.104.01;Manhole Cover - Cargo Tank No 04 Stbd;
284.104.02;Manhole Cover - Cargo Tank No 04 Port;
284.105.01;Manhole Cover - Cargo Tank No 05 Stbd;
284.105.02;Manhole Cover - Cargo Tank No 05 Port;
284.106.01;Manhole Cover - Cargo Tank No 06 Stbd;
284.106.02;Manhole Cover - Cargo Tank No 06 Port;
284.107.01;Manhole Cover - Cargo Tank No 07 Stbd;
284.107.02;Manhole Cover - Cargo Tank No 07 Port;
284.108.01;Manhole Cover - Cargo Tank No 08 Stbd;
284.108.02;Manhole Cover - Cargo Tank No 08 Port;
284.109.01;Manhole Cover - Cargo Tank No 09 Stbd;
284.109.02;Manhole Cover - Cargo Tank No 09 Port;
284.110.01;Manhole Cover - Cargo Tank No 10 Stbd;
284.110.02;Manhole Cover - Cargo Tank No 10 Port;
285;BALLAST
285.101;BALLAST WATER TANKS;
285.101.01;Tank - Water Ballast No 01 Stbd;
285.101.02;Tank - Water Ballast No 01 Port;
285.101.03;Tank - Water Ballast No 01 Center;
285.102.01;Tank - Water Ballast No 02 Stbd;
285.102.02;Tank - Water Ballast No 02 Port;
285.102.03;Tank - Water Ballast No 02 Center;
285.103.01;Tank - Water Ballast No 03 Stbd;
285.103.02;Tank - Water Ballast No 03 Port;
285.103.03;Tank - Water Ballast No 03 Center;
285.104.01;Tank - Water Ballast No 04 Stbd;
285.104.02;Tank - Water Ballast No 04 Port;
285.104.03;Tank - Water Ballast No 04 Center;
285.104.04;Tank - Water Ballast No 04 Stbd Center;
285.104.05;Tank - Water Ballast No 04 Port Center;
285.105.01;Tank - Water Ballast No 05 Stbd;
285.105.02;Tank - Water Ballast No 05 Port;
285.105.03;Tank - Water Ballast No 05 Center;
285.105.11;Tank - Water Ballast and Dirty Water No 05 Stbd;
285.106.01;Tank - Water Ballast No 06 Stbd;
285.106.02;Tank - Water Ballast No 06 Port;
285.106.03;Tank - Water Ballast No 06 Center;
285.106.04;Tank - Water Ballast No 06 Stbd Center;
285.106.05;Tank - Water Ballast No 06 Port Center;
285.107.01;Tank - Water Ballast No 07 Stbd;
285.107.02;Tank - Water Ballast No 07 Port;
285.107.03;Tank - Water Ballast No 07 Center;
285.108.01;Tank - Water Ballast No 08 Stbd;
285.108.02;Tank - Water Ballast No 08 Port;
285.108.03;Tank - Water Ballast No 08 Center;
285.109.01;Tank - Water Ballast No 09 Stbd;
285.109.02;Tank - Water Ballast No 09 Port;
285.109.03;Tank - Water Ballast No 09 Center;
285.110.01;Tank - Water Ballast No 10 Stbd;
285.110.02;Tank - Water Ballast No 10 Port;
285.110.03;Tank - Water Ballast No 10 Center;
285.119.01;Tank - Dirty Water Ballast
285.119.02;Tank - Dirty Water Ballast
285.121;SIDE WATER BALLAST TANKS;
285.121.01;Tank - Side Water Ballast No 01 Stbd;
285.121.02;Tank - Side Water Ballast No 01 Port;
285.121.03;Tank - Side Water Ballast No 01 Center;
285.122.01;Tank - Side Water Ballast No 02 Stbd;
285.122.02;Tank - Side Water Ballast No 02 Port;
285.122.03;Tank - Side Water Ballast No 02 Center;
285.123.01;Tank - Side Water Ballast No 03 Stbd;
285.123.02;Tank - Side Water Ballast No 03 Port;
285.123.03;Tank - Side Water Ballast No 03 Center;
285.124.01;Tank - Side Water Ballast No 04 Stbd;
285.124.02;Tank - Side Water Ballast No 04 Port;
285.124.03;Tank - Side Water Ballast No 04 Center;
285.125.01;Tank - Side Water Ballast No 05 Stbd;
285.125.02;Tank - Side Water Ballast No 05 Port;
285.125.03;Tank - Side Water Ballast No 05 Center;
285.126.01;Tank - Side Water Ballast No 06 Stbd;
285.126.02;Tank - Side Water Ballast No 06 Port;
285.126.03;Tank - Side Water Ballast No 06 Center;
285.127.01;Tank - Side Water Ballast No 07 Stbd;
285.127.02;Tank - Side Water Ballast No 07 Port;
285.127.03;Tank - Side Water Ballast No 07 Center;
285.141;FIXED BALLAST TANKS;
285.141.01;Tank - Fixed Ballast No 01 Stbd;
285.141.02;Tank - Fixed Ballast No 01 Port;
285.141.03;Tank - Fixed Ballast No 01 Center;
285.142.01;Tank - Fixed Ballast No 02 Stbd;
285.142.02;Tank - Fixed Ballast No 02 Port;
285.142.03;Tank - Fixed Ballast No 02 Center;
285.143.01;Tank - Fixed Ballast No 03 Stbd;
285.143.02;Tank - Fixed Ballast No 03 Port;
285.143.03;Tank - Fixed Ballast No 03 Center;
285.144.01;Tank - Fixed Ballast No 04 Stbd;
285.144.02;Tank - Fixed Ballast No 04 Port;
285.144.03;Tank - Fixed Ballast No 04 Center;
285.151;SOLID BALLAST;
285.151.01;Tank - Solid Ballast SP No 01 Stbd;
285.151.02;Tank - Solid Ballast SP No 01 Port;
285.151.03;Tank - Solid Ballast SP No 01 Center;
285.152.01;Tank - Solid Ballast SP No 02 Stbd;
285.152.02;Tank - Solid Ballast SP No 02 Port;
285.152.03;Tank - Solid Ballast SP No 02 Center;
285.161;HEELING TANKS;
285.161.01;Tank - Heeling Stbd;
285.161.02;Tank - Heeling Port;
285.161.03;Tank - Heeling Center;
285.162.02;Tank - Water Ballast Double Bottom No 02 Stbd;
285.171.01;Tank - Deep Water Ballast Stbd;
285.171.02;Tank - Deep Water Ballast Port;
285.171.03;Tank - Deep Water Ballast Center;
285.176.01;Tank - Top Water Ballast Stbd;
285.176.02;Tank - Top Water Ballast Port;
285.181.01;Tank - Fore Peak Stbd;
285.181.02;Tank - Fore Peak Port;
285.181.03;Tank - Fore Peak Center;
285.181.04;Tank - Fore Peak Deep;
285.181.11;Tank - Fore Peak Upper;
285.181.12;Tank - Fore Peak Lower;
285.191.01;Tank - Aft Peak Stbd;
285.191.02;Tank - Aft Peak Port;
285.191.03;Tank - Aft Peak Center;
285.191.04;Tank - Aft Peak Deep;
285.201;DOUBLE BOTTOM TANKS;
285.201.01;Tank - Double Bottom Water Ballast No 01 Stbd;
285.201.02;Tank - Double Bottom Water Ballast No 01 Port;
285.201.03;Tank - Double Bottom Water Ballast No 01 Center;
285.202.01;Tank - Double Bottom Water Ballast No 02 Stbd;
285.202.02;Tank - Double Bottom Water Ballast No 02 Port;
285.202.03;Tank - Double Bottom Water Ballast No 02 Center;
285.203.01;Tank - Double Bottom Water Ballast No 03 Stbd;
285.203.02;Tank - Double Bottom Water Ballast No 03 Port;
285.203.03;Tank - Double Bottom Water Ballast No 03 Center;
285.204.01;Tank - Double Bottom Water Ballast No 04 Stbd;
285.204.02;Tank - Double Bottom Water Ballast No 04 Port;
285.204.03;Tank - Double Bottom Water Ballast No 04 Center;
285.204.04;Tank - Double Bottom Water Ballast No 04 Outer Stbd;
285.204.05;Tank - Double Bottom Water Ballast No 04 Outer Port;
285.205.01;Tank - Double Bottom Water Ballast No 05 Stbd;
285.205.02;Tank - Double Bottom Water Ballast No 05 Port;
285.205.03;Tank - Double Bottom Water Ballast No 05 Center;
285.206.01;Tank - Double Bottom Water Ballast No 06 Stbd;
285.206.02;Tank - Double Bottom Water Ballast No 06 Port;
285.206.03;Tank - Double Bottom Water Ballast No 06 Center;
285.207.01;Tank - Double Bottom Water Ballast No 07 Stbd;
285.207.02;Tank - Double Bottom Water Ballast No 07 Port;
285.207.03;Tank - Double Bottom Water Ballast No 07 Center;
285.221.01;Tank - Lower Water Ballast No 01 Stbd;
285.221.02;Tank - Lower Water Ballast No 01 Port;
285.221.03;Tank - Lower Water Ballast No 01 Center;
285.222.01;Tank - Lower Water Ballast No 02 Stbd;
285.222.02;Tank - Lower Water Ballast No 02 Port;
285.222.03;Tank - Lower Water Ballast No 02 Center;
285.223.01;Tank - Lower Water Ballast No 03 Stbd;
285.223.02;Tank - Lower Water Ballast No 03 Port;
285.223.03;Tank - Lower Water Ballast No 03 Center;
285.224.01;Tank - Lower Water Ballast No 04 Stbd;
285.224.02;Tank - Lower Water Ballast No 04 Port;
285.224.03;Tank - Lower Water Ballast No 04 Center;
285.225.01;Tank - Lower Water Ballast No 05 Stbd;
285.225.02;Tank - Lower Water Ballast No 05 Port;
285.225.03;Tank - Lower Water Ballast No 05 Center;
285.226.01;Tank - Lower Water Ballast No 06 Stbd;
285.226.02;Tank - Lower Water Ballast No 06 Port;
285.226.03;Tank - Lower Water Ballast No 06 Center;
285.227.01;Tank - Lower Water Ballast No 07 Stbd;
285.227.02;Tank - Lower Water Ballast No 07 Port;
285.227.03;Tank - Lower Water Ballast No 07 Center;
285.228.01;Tank - Lower Water Ballast No 08 Stbd;
285.228.02;Tank - Lower Water Ballast No 08 Port;
285.228.03;Tank - Lower Water Ballast No 08 Center;
285.228.04;Tank - Lower Water Ballast No 08 Center Stbd;
285.228.05;Tank - Lower Water Ballast No 08 Center Port;
285.231.01;Tank - Fwd Lower Water Ballast Stbd;
285.231.02;Tank - Fwd Lower Water Ballast Port;
285.231.03;Tank - Fwd Lower Water Ballast Center;
285.231.11;Tank - Fwd LP Water Ballast;
285.241.01;Tank - Middle Water Ballast No 01 Stbd;
285.241.02;Tank - Middle Water Ballast No 01 Port;
285.241.03;Tank - Middle Water Ballast No 01 Center;
285.242.01;Tank - Middle Water Ballast No 02 Stbd;
285.242.02;Tank - Middle Water Ballast No 02 Port;
285.242.03;Tank - Middle Water Ballast No 02 Center;
285.243.01;Tank - Middle Water Ballast No 03 Stbd;
285.243.02;Tank - Middle Water Ballast No 03 Port;
285.243.03;Tank - Middle Water Ballast No 03 Center;
285.244.01;Tank - Middle Water Ballast No 04 Stbd;
285.244.02;Tank - Middle Water Ballast No 04 Port;
285.244.03;Tank - Middle Water Ballast No 04 Center;
285.245.01;Tank - Middle Water Ballast No 05 Stbd;
285.245.02;Tank - Middle Water Ballast No 05 Port;
285.245.03;Tank - Middle Water Ballast No 05 Center;
285.246.01;Tank - Middle Water Ballast No 06 Stbd;
285.246.02;Tank - Middle Water Ballast No 06 Port;
285.246.03;Tank - Middle Water Ballast No 06 Center;
285.247.01;Tank - Middle Water Ballast No 07 Stbd;
285.247.02;Tank - Middle Water Ballast No 07 Port;
285.247.03;Tank - Middle Water Ballast No 07 Center;
285.248.01;Tank - Middle Water Ballast No 08 Stbd;
285.248.02;Tank - Middle Water Ballast No 08 Port;
285.248.03;Tank - Middle Water Ballast No 08 Center;
285.248.04;Tank - Middle Water Ballast No 08 Center Stbd;
285.248.05;Tank - Middle Water Ballast No 08 Center Port;
285.261.01;Tank - Upper Water Ballast No 01 Stbd;
285.261.02;Tank - Upper Water Ballast No 01 Port;
285.261.03;Tank - Upper Water Ballast No 01 Center;
285.262.01;Tank - Upper Water Ballast No 02 Stbd;
285.262.02;Tank - Upper Water Ballast No 02 Port;
285.262.03;Tank - Upper Water Ballast No 02 Center;
285.263.01;Tank - Upper Water Ballast No 03 Stbd;
285.263.02;Tank - Upper Water Ballast No 03 Port;
285.263.03;Tank - Upper Water Ballast No 03 Center;
285.264.01;Tank - Upper Water Ballast No 04 Stbd;
285.264.02;Tank - Upper Water Ballast No 04 Port;
285.264.03;Tank - Upper Water Ballast No 04 Center;
285.265.01;Tank - Upper Water Ballast No 05 Stbd;
285.265.02;Tank - Upper Water Ballast No 05 Port;
285.265.03;Tank - Upper Water Ballast No 05 Center;
285.266.01;Tank - Upper Water Ballast No 06 Stbd;
285.266.02;Tank - Upper Water Ballast No 06 Port;
285.266.03;Tank - Upper Water Ballast No 06 Center;
285.267.01;Tank - Upper Water Ballast No 07 Stbd;
285.267.02;Tank - Upper Water Ballast No 07 Port;
285.267.03;Tank - Upper Water Ballast No 07 Center;
285.268.01;Tank - Upper Water Ballast No 08 Stbd;
285.268.02;Tank - Upper Water Ballast No 08 Port;
285.268.03;Tank - Upper Water Ballast No 08 Center;
285.268.04;Tank - Upper Water Ballast No 08 Center Stbd;
285.268.05;Tank - Upper Water Ballast No 08 Center Port;
285.271.01;Tank - Fwd Upper Water Ballast Stbd;
285.271.02;Tank - Fwd Upper Water Ballast Port;
285.271.03;Tank - Fwd Upper Water Ballast Center;
285.271.11;Tank - Fwd U P Water Ballast
285.271.12;Tank - Fwd U P Water Ballast
285.301;SIDE WING TANKS;
285.301.01;Tank - Upper Wing Water Ballast Tank No 01 Stbd;
285.301.02;Tank - Upper Wing Water Ballast Tank No 01 Port;
285.302.06;Tank - Upper Wing Water Ballast Tank No 02 Stbd Fwd;
285.302.07;Tank - Upper Wing Water Ballast Tank No 02 Stbd Aft;
285.302.08;Tank - Upper Wing Water Ballast Tank No 02 Port Fwd;
285.302.09;Tank - Upper Wing Water Ballast Tank No 02 Port Aft;
285.303.06;Tank - Upper Wing Water Ballast Tank No 03 Stbd Fwd;
285.303.07;Tank - Upper Wing Water Ballast Tank No 03 Stbd Aft;
285.303.08;Tank - Upper Wing Water Ballast Tank No 03 Port Fwd;
285.303.09;Tank - Upper Wing Water Ballast Tank No 03 Port Aft;
285.304.06;Tank - Upper Wing Water Ballast Tank No 04 Stbd Fwd;
285.304.07;Tank - Upper Wing Water Ballast Tank No 04 Stbd Aft;
285.304.08;Tank - Upper Wing Water Ballast Tank No 04 Port Fwd;
285.304.09;Tank - Upper Wing Water Ballast Tank No 04 Port Aft;
285.305.06;Tank - Upper Wing Water Ballast Tank No 05 Stbd Fwd;
285.305.07;Tank - Upper Wing Water Ballast Tank No 05 Stbd Aft;
285.305.08;Tank - Upper Wing Water Ballast Tank No 05 Port Fwd;
285.305.09;Tank - Upper Wing Water Ballast Tank No 05 Port Aft;
285.306.06;Tank - Upper Wing Water Ballast Tank No 06 Stbd Fwd;
285.306.07;Tank - Upper Wing Water Ballast Tank No 06 Stbd Aft;
285.306.08;Tank - Upper Wing Water Ballast Tank No 06 Port Fwd;
285.306.09;Tank - Upper Wing Water Ballast Tank No 06 Port Aft;
285.307.06;Tank - Upper Wing Water Ballast Tank No 07 Stbd Fwd;
285.307.07;Tank - Upper Wing Water Ballast Tank No 07 Stbd Aft;
285.307.08;Tank - Upper Wing Water Ballast Tank No 07 Port Fwd;
285.307.09;Tank - Upper Wing Water Ballast Tank No 07 Port Aft;
285.351;DRAFT TANKS;
285.351.04;Tank - Draft
285.351.07;Tank - Draft
285.351.09;Tank - Draft
285.351.10;Tank - Draft
285.351.11;Tank - Draft
285.401;COFFERDAMS;
285.401.01;Cofferdam - Engine Room;
285.401.12;Cofferdam - Emergency Generator Room;
285.401.21;Cofferdam - Collision Bulkhead;
285.401.51;Cofferdam - xxx;
285.401.52;Cofferdam - xxx;
285.401.53;Cofferdam - xxx;
285.401.54;Cofferdam - xxx;
285.401.55;Cofferdam - xxx;
285.401.56;Cofferdam - xxx;
285.501;VOID SPACES - CARGO HOLDS;
285.501.01;Void Space - Cargo Hold No 01 and No 02 Upper Stool;
285.501.02;Void Space - Cargo Hold No 02 and No 03 Upper Stool;
