name;DESCRIPTION;
269.101.92;Tank - Renovating Lube Oil
269.101.93;Tank - Renovating Lube Oil
269.201;FUEL OIL LOOSE TANKS;
269.201.01;Tank - Fuel Oil Filter Drain;
269.201.11;Tank - Fuel Oil Additive;
269.201.21;Tank - Fuel Oil Treatment;
269.201.51;Tank - Fuel Oil Sludge;
269.201.61;Tank - Fuel Oil Leak;
269.201.71;Tank - Dirty Oil;
269.301;CYLINDER OIL TANKS;
269.301.01;Tank - ME Cylinder Oil Storage No 01;
269.301.02;Tank - ME Cylinder Oil Storage No 02;
269.301.03;Tank - ME Cylinder Oil Storage No 03;
269.301.06;Tank - ME LS Cylinder Oil Storage;
269.301.11;Tank - ME Cylinder Oil Measuring;
269.301.16;Tank - ME Cylinder Oil Service;
269.301.17;Tank - ME Cylinder Oil Service (LS);
269.301.21;Tank - MGO Cylinder Oil Measuring;
269.301.26;Tank - Cylinder Oil Storage (MGO);
269.301.31;Tank - Cylinder Oil Gravity;
269.401;HYDRAULIC OIL TANKS;
269.401.01;Tank - Steering Gear Hydraulic Oil;
269.401.02;Tank No 02 - Steering Gear Hydraulic Oil;
269.451;THERMAL OIL TANKS;
269.451.01;Tank - Thermal Oil Storage;
269.451.11;Tank - Thermal Oil Drain;x
269.471;CAUSTIC SODA TANKS;
269.471.01;Tank - Caustic Soda
269.471.02;Tank - Caustic Soda
269.501;VARIOUS TANKS;
269.501.01;Tank - Bilge Holding;
269.501.02;Tank No 02 - Bilge Holding;
269.501.03;Tank - Bilge Eco wash;
269.501.06;Tank - Oily Bilge (Bilge Separator Oil);
269.501.07;Tank No 02 - Oily Bilge (Bilge Separator Oil);
269.501.11;Tank - Bilge Primary No 01;
269.501.12;Tank - Bilge Primary No 02;
269.501.16;Tank - Wash Oil;
269.501.17;Tank - Waste Lube Oil;
269.501.18;Tank - Lube Oil Cleaning;
269.501.19;Tank - Lube Oil Leak Collecting;
269.501.21;Tank - Bilge (Engine Room);
269.501.22;Tank - Bilge (Cargo Hold);
269.501.26;Tank No 01 - Waste Oil;
269.501.27;Tank No 02 - Waste Oil;
269.501.28;Tank - Waste Oil
269.501.29;Tank - Waste Oil Evaporation
269.501.31;Tank - Cargo Hold Bilge;
269.501.36;Tank No 01 - Sludge;
269.501.37;Tank No 02 - Sludge;
269.501.38;Tank No 03 - Sludge;
269.501.39;Tank - Separator Sludge;
269.501.41;Tank - Waste Oil Service
269.501.46;Tank - Waste Oil Service;
269.501.49;Tank - Waste Oil Settling;
269.501.50;Tank No 02 - Waste Oil Settling;
269.501.51;Tank No 01 - Sludge Service;
269.501.52;Tank No 02 - Sludge Service;
269.501.54;Tank - De-watered Sludge;
269.501.56;Tank - Sludge Settling;
269.501.61;Tank - Clean Drain;
269.501.66;Tank - MGO Drain;
269.501.71;Tank - Gray (Grey) Water;
269.501.76;Tank - Dirty Water Stbd;
269.501.77;Tank - Dirty Water Port;
269.501.81;Tank - Sewage Holding;
269.501.83;Tank - Sewage Collecting;
269.501.86;Tank - ME Air Cooler Cleaning;
269.501.89;Tank - ME Scavenge Air;
269.501.90;Tank - ME Scavenge Air Drain;
269.501.91;Tank - AE Fuel Oil Valve Cooling Fresh Water;
269.501.96;Tank - Boiler Water Washing;
269.501.97;Tank - Main Cooling Fresh Water Expansion;
269.501.98;Tank - AE Cooling Fresh Water Expansion;
269.801;Air Vent
27;MATERIAL PROTECTION
271;BOTTOM
273;EXTERNAL DECKS;
273.001;Forecastle Deck;
273.002;Tank Areas;
273.002.01;Tank Area No 01 - Port to Stbd ;
273.002.02;Tank Area No 02 - Port to Stbd ;
273.002.03;Tank Area No 03 - Port to Stbd ;
273.002.04;Tank Area No 04 - Port to Stbd ;
273.003;Poop Deck;
273.004;Accommodation including Upper Deck;
273.005;Engine Casing and Funnel;
273.006;Main Deck;
274;EQUIPMENT ON EXTERNAL DECKS
274.010;Railing and Bulwark - Stbd;
274.020;Railing and Bulwark - Port;
278;EXTERNAL CATHODIC PROTECTION AND ANTIFOULING SYSTEM;
278.001;Impressed Current Cathodic Protection (ICCP) No 01;
278.002;Impressed Current Cathodic Protection (ICCP) No 02;
278.011;External Hull Anodes;
278.101;Ferrous Ion Generator (DEFCON);x
28;MATERIAL PROTECTION
281;ACCOMMODATION SPACES;
281.001;ACCOMMODATION;
281.001.02;Accommodation - Upper Deck;
281.001.03;Accommodation - A Deck;
281.001.04;Accommodation - B Deck;
281.001.05;Accommodation - C Deck;
281.001.06;Accommodation - Lower Deck;
281.001.07;Accommodation - D Deck;
281.001.08;Accommodation - E Deck;
281.001.09;Accommodation - F Deck;
281.001.10;Accommodation - G Deck;
281.001.11;Accommodation - H Deck;
281.001.12;Accommodation - Boat Deck;
281.001.13;Accommodation - Captain Deck;
281.002;Navigation Bridge Deck;
281.003;Compass Bridge Deck;
281.101;DECK HOUSES;x
281.101.01;Provision Room;
281.101.01.01;Meat Room;
281.101.01.02;Fish Room;
281.101.01.03;Vegetable Room;
281.101.01.04;Dairy Room;
281.101.01.05;Dry Provision Room;
281.101.02;Deck Store;
281.101.03;Bosun Store
281.101.04;Bosun Store
281.101.05;Paint Store;
281.101.06;Emergency Generator Room;
281.101.07;CO2 Tank Room;
281.101.08;Forecastle Store;
281.101.09;Battery Room;
281.101.13;Store
281.101.14;Store
281.101.15;Lift Room;
281.101.16;Air Condition Room;
281.101.17;Oxygen/Acetylene Room;
281.101.18;Chemical Store;
281.101.19;Electrical Equipment Room;
281.101.20;Hydraulic Pump Room;
281.101.21;Galley;
281.101.22;Laundry Room;
281.101.22.01;Laundry Room - Officers;
281.101.22.02;Laundry Room - Ships;
281.101.22.11;Laundry Drying Room;
281.101.23;Ships Office;
281.101.24;Fire Control Station;
281.101.25;Officers Recreation Room;
281.101.26;Crew Recreation Room;
281.101.27;Deck Work Shop;
281.101.28;Sauna;
281.101.29;Ballast Control Room;
